Feature,Loading
19_F16DP_0.0 : Conc. (nM),0.5746608267026423
DHAP_0.0 : Conc. (nM),0.42668248539527676
11_AMP 0.0 : Conc. (nM),0.419368800420893
15_CMP 0.0 : Conc. (nM),0.4057163858766708
32_KGA_0.0 : Conc. (nM),0.3837069381377652
