Feature,Loading
Hexanal Area,0.47179701157677756
Hexyl acetate Area,0.4575343549230826
Propyl butyrate Area,0.44323783375012527
"2,4-Hexadienal Area",0.43181576019137113
(Z)-2-Penten-1-ol Area,0.4302850984117219
