Feature,Loading
33_LAC_0.0 : Conc. (nM),-0.5355377882743761
21_FUM_0.0 : Conc. (nM),-0.5239490226199027
13_ATP_0.0 : Conc. (nM),0.4244564960584933
48_SUCC_0.0 : Conc. (nM),-0.3601515415774825
54_UTP0.0 : Conc. (nM),0.3588930886475071
