Sample,Groups,"(2E,6Z)-nona-2,6-dienal Area",(3Z)-3-Hexenyl acetate Area,(E)-2-Nonenal Area,(E)-2-Octen-1-ol Area,(E)-2-Pentenal Area,(E)-Linalool oxide Area,"(E,E)-2,4-nonadienal Area",(Z)-2-Penten-1-ol Area,(Z)-4-Heptenal Area,(Z)-Linalool oxide Area,(Z)-beta-Ocimene Area,(Z)-hex-2-en-1-ol Area,1-Butanol Area,1-Heptanol Area,1-Hexanol Area,1-Hexen-3-one Area,1-Nonanol Area,1-Octen-3-ol Area,1-Octen-3-one Area,1-Pentanol Area,"2,4-Heptadienal Area","2,4-Hexadienal Area","2,6-Nonadienol Area",2-Acetylpyrrole Area,2-Ethylfuran Area,2-Heptanol Area,2-Heptanone Area,2-Hexanone Area,2-Methyl-1-butanol Area,2-Methylbutyl acetate Area,2-Methylpentan-2-ol Area,2-Nonanol Area,2-Pentanol Area,2-Pentanone Area,2-Pentylfuran Area,3-Hexanone Area,3-Mercapto-3-methylbutyl formate Area,3-Methyl-2-butanone Area,3-Methyl-2-buten-1-ol Area,3-Methyl-3-butenyl acetate Area,3-Octanone Area,3-Pentanol Area,3-Pentanone Area,4-Ethylphenol Area,6-Methoxyeugenol Area,6-Methyl-5-hepten-2-one Area,Acetal Area,Acetoin Area,Acetophenone Area,Allyl isothiocyanate Area,Benzaldehyde Area,Butyl 2-methylbutyrate Area,Butyl acetate Area,Butyl decanoate Area,Butyl hexanoate Area,Butyric acid Area,Dihydrocarveol Area,Ethyl 2-methylbutyrate Area,Ethyl 3-methylbutanoate Area,Ethyl benzoate Area,Ethyl butanoate Area,Ethyl isobutyrate Area,Ethyl lactate Area,Ethyl laurate Area,Ethyl octanoate Area,Ethyl stearate Area,Ethyl valerate Area,Ethyl vinyl ketone Area,Eugenol Area,Geranyl butyrate Area,Geranyl isovalerate Area,Guaiacol Area,Heptanal Area,Heptyl acetate Area,Hexanal Area,Hexyl acetate Area,Hexyl butyrate Area,Isoamyl acetate Area,Isoamyl alcohol Area,Isoamyl butyrate Area,Isobutyric acid Area,Isopropyl hexanoate Area,Methyl 2-methylbutyrate Area,Methyl hexanoate Area,Methyl isobutyl ketone Area,Methyl isovalerate Area,Neodihydrocarveol Area,Neryl acetate Area,Nonyl acetate Area,Octyl acetate Area,Pentyl acetate Area,Pentyl butyrate Area,Phenylacetaldehyde Area,Propanoic acid Area,Propyl acetate Area,Propyl butyrate Area,Propyl hexanoate Area,Tetradecanal Area,Tetrahydrothiophene Area,alpha-Pinene Area,alpha-Thujone Area,beta-Pinene Area,cis-3-Hexen-1-ol Area,gamma-Terpinene Area,gamma-Undecalactone Area,trans-2-Heptenal Area,trans-2-Hexen-1-ol Area,trans-2-Hexenal Area,trans-2-Penten-1-ol Area
Green-1,Green,364006,302,138924,1186,2641.0,277.0,11345,2552,397.0,748,49487,14968,1341,27352,1294054,8306,24511,1850.0,3221,8420,3153,5044.0,215177,351.0,1224.0,1382,188,,1310,7485,,535,,,66723,,12600,,,,3969,291,854,8932,,544,5208.0,1019,1349,,6696,1067,,365,167,,554.0,,3781,1123,906656,,,451,2958,1722,,4285.0,389,230,,856,11966,101437,3394910,1617,1755,7523,1122,76242,,,,569.0,,,670.0,119,132,2587,177,495,8291,,,3274,414,,,1220.0,133,1289.0,,28341,265,341173,14958,5177701,2525
Ripe-3,Ripe,164244,14646,16896,21020,,,520,30701,20645.0,633,10714,73295,163333,40432,325827,3641,142,192.0,6331,5013,667,5198.0,24493,,981.0,32536,178383,8061.0,2066603,42191315,5338.0,194353,98645.0,1241760.0,2293,2951527.0,141263,2644.0,2953229.0,15646.0,5236,902,733221,1355,859.0,439,,103667,30749,4975.0,48235,112024,1081266.0,4804,29516,35013.0,,16673.0,299467,1427,1795905,4889.0,1885.0,1366,1281,1678,2498.0,693.0,27024,1395,1624.0,1272,6179,34185902,769130,81577,525585,41724431,2068837,40088281,378.0,596.0,,,1281.0,1275401.0,,2902,21855,271830,16493,3226,7629,1210.0,64190.0,108385,2381,1884.0,591549.0,,1791,,4676.0,1921,1786,14906,73538,3103215,30374
Over-2,Overripe,32980,2007,4662,38412,,311.0,82,1685,1518.0,536,5659,2483,1116693,10583,544094,14165,1436,,3982,13920,74,169.0,2261,,,268418,60713,2183.0,10712407,2957577,31209.0,294069,195924.0,396700.0,916,152578.0,33077,1158.0,160174.0,,3119,686,229430,683,3543.0,350,760.0,218975,42866,328.0,13840,174474,36457.0,832,3579,1694.0,,123751.0,1422444,2790,1718046,7547.0,,7052,7668,1911,1884.0,,155085,3759,2350.0,9978,94037,46338027,3057,2010,93761,2817153,10728543,15724015,3270.0,4411.0,644.0,,3063.0,96534.0,,16568,11834,199099,728,1801,1873,8137.0,1706.0,3308,329,2566.0,587013.0,,1663,,10197.0,9624,2480,3680,2465,120693,1570
Over-1,Overripe,55995,2127,4160,41015,,402.0,262,811,380.0,689,3936,6862,1053482,10356,469591,14855,920,,3894,15273,234,,3321,,,230139,54838,2025.0,9932932,1671504,29275.0,344068,177137.0,363465.0,1449,99016.0,39714,2166.0,99506.0,,2078,693,212087,313,1625.0,316,1431.0,226560,42957,255.0,88842,190061,27781.0,514,7286,1327.0,,149984.0,1460586,3445,2474340,9730.0,,4018,10162,770,2770.0,,85519,3551,1353.0,3413,81541,47618636,3418,1601,111508,1592753,9943166,20878842,1083.0,3223.0,1474.0,,4168.0,12908.0,,11230,14113,249454,649,1091,5392,8344.0,205.0,2985,219,1222.0,840610.0,,1874,,7829.0,3996,1957,4094,6785,119744,857
Ripe-2,Ripe,118401,14523,3133,25883,,,136,28939,30464.0,542,1728,82080,189334,37112,285777,6089,371,427.0,6806,6723,659,6900.0,4730,,1983.0,44422,205682,9815.0,2459457,41013491,6057.0,203121,114820.0,1479940.0,2025,2917727.0,137284,2586.0,2911577.0,14938.0,42740,1045,874879,540,612.0,467,,104486,28348,5248.0,78592,113138,1071713.0,1498,27412,43690.0,,17058.0,282918,510,1877652,4896.0,1954.0,1504,1463,697,2767.0,843.0,30555,1879,1757.0,802,6389,34181612,1631080,73414,390315,40439220,2461652,38126636,1274.0,608.0,,,1444.0,1258127.0,,4068,28324,264660,14627,4108,8166,1268.0,65567.0,108770,2727,1722.0,527639.0,,1730,,5250.0,1554,1771,11777,81575,4605928,29402
Green-3,Green,53522,1206,53191,999,2011.0,485.0,36394,3232,,826,8077,12040,4177,29252,2404167,21740,21918,1567.0,1452,21754,8932,9191.0,88608,243.0,4587.0,2009,685,,10498,136616,,988,,2146.0,248215,,1910,,2650.0,,28087,345,472,3789,,1221,1821.0,1311,1569,,43572,1167,,374,1105,,2064.0,,3499,431,1834179,,,380,1839,344,478.0,2611.0,5206,304,,1181,34785,1756431,7232191,13729,8155,131832,10497,1216860,,,,2023.0,,,2200.0,585,244,13758,1693,127,23762,,,9440,5769,213.0,,933.0,136,681.0,,10476,236,82250,12083,4438927,3416
Over-3,Overripe,32269,2826,6716,39817,,292.0,4965,988,374.0,508,3017,3304,1366263,8937,598495,21403,883,,3854,20874,735,153.0,8169,,,257416,52696,2113.0,11736737,1726909,34374.0,255019,229011.0,422829.0,2374,105591.0,31026,1514.0,105587.0,,3916,636,250269,640,1445.0,417,880.0,281141,36915,186.0,39584,163331,32588.0,340,3511,1172.0,,130601.0,1417893,2747,2012282,8189.0,,2995,7662,553,3024.0,,75764,3396,1405.0,4007,88500,43101399,18054,1593,66983,1645470,11751787,15026835,3498.0,2260.0,1022.0,,3777.0,16118.0,,9826,10751,163615,574,1190,7738,10273.0,1991.0,2704,1195,1295.0,684841.0,,1618,,10766.0,5256,1720,4808,3340,175474,1080
Green-2,Green,68455,966,99780,1629,1787.0,518.0,49052,2773,,889,10819,14904,5601,44031,1824633,21903,22042,3065.0,2109,21378,13112,4388.0,166549,326.0,5417.0,4561,458,,28176,8733,,128,,1138.0,488937,,409,,,,36049,321,362,7171,,1370,1732.0,1043,2201,,51060,2227,,270,168,,820.0,,4077,507,1326655,,,683,3816,253,602.0,2446.0,9378,481,,1242,37874,2683273,5107911,7730,364,8050,33767,383275,,,,2071.0,,,973.0,1115,240,8342,1401,149,15225,,,10254,7280,,,788.0,213,638.0,,14392,246,218575,15033,3038256,2934
Ripe-1,Ripe,142991,12780,5120,20196,,,637,32977,36510.0,275,4477,103477,209392,45363,664113,5496,415,471.0,9151,6702,2302,7618.0,1532,,11956.0,45049,247105,11191.0,2389477,44203716,5733.0,227825,117686.0,1697615.0,11570,3368094.0,174031,4504.0,3365595.0,16468.0,21067,1159,1004380,456,500.0,820,,112966,15809,5784.0,351558,140517,1290980.0,989,48702,37532.0,,16819.0,265667,366,1923599,4631.0,2658.0,1302,1693,314,1464.0,1179.0,19602,1818,1826.0,1091,6427,38573522,2980386,114258,642337,43933072,2388085,44365002,666.0,825.0,,,2002.0,1444595.0,,2424,39171,372818,17834,3556,7589,1555.0,73969.0,115524,7173,2238.0,426625.0,,1905,,5153.0,1544,2275,13193,103915,5007649,32696
