Sample,Groups,ASP,GLU,CYS,ASN,SER,GLN,HIS,GLY,THR,ARG,ALA,GABA,TYR,VAL,MET,TRP,PHE,ILE,LEU,LYS,PRO
Green-1,Green,458251.1,84820.9,958.2,836500.7,136792,333005.8,790155.4,75045.4,107147.6,146814.2,40115.3,162918.7,45276.3,68476.7,7132.2,22973,92031.5,60915,159001.4,100758.7,47548.9
Green-2,Green,457048.1,84264.2,1561.2,824308.1,130711.9,328413.9,779215.3,73630.3,104748.3,144071.5,39179.1,159038.6,44141.4,66480.2,6709.4,22244.4,90981.6,58474.2,151299.2,99038,51463.7
Green-3,Green,482016.1,89497.7,1283.7,870590.1,131058.2,349555.2,809508.5,78257.9,111932.8,151406.8,41602.8,170269.5,46989.2,71142.9,7222.2,23745.1,96986.3,62354.5,162594.3,102941.9,55468.7
Ripe-1,Ripe,58048.9,23313.4,2845.6,514020.3,183738.4,56293.4,1420946.5,84829.2,125162.4,151512,36817.4,212640.2,49477.8,382237,4616.2,20196.9,28466.6,32716.7,498834,95864.3,46348.9
Ripe-2,Ripe,53896.9,21663.4,2447,479284.5,176624.4,53089,1265846.1,81998.8,118275,140007.6,37642.8,200809,46315.5,362461.8,4485,19399.2,25924.9,30642.6,466136.5,87481.5,42259.5
Ripe-3,Ripe,54854.4,21970.1,1550.1,486136,176189.8,54819.8,1266623.8,82002.5,118172.4,141803,30588.5,201908.6,47528.4,366350.2,4535.3,19894.2,27495.5,31454.4,471977,89085.7,42425.9
Over-1,Overripe,60124.2,16513.6,1860,598083,233122.9,80330.3,1322091.5,227068.9,130438.7,238501.3,57160.6,926212.7,95098.9,791538.6,3782.2,31080.4,64032.4,66192.2,461764.8,143997.3,102613.7
Over-2,Overripe,56772.4,15780.3,1234.1,563573.1,222532.2,75542.1,1239743.6,213851.1,122925.5,223533.3,53742.6,878647.3,89130.6,747972.4,3582.7,28451.7,60041.7,63535.4,438075.9,134290.6,93573
Over-3,Overripe,58227.7,16438,1764.2,578064.4,218234.8,78036.3,1281178.2,220608.8,126368.5,231672.5,54737.1,900829,91788.8,767765.6,3667,29761.6,62236.9,67006.1,446796.3,139698.4,100310.6
